"['Tacc_S15arm1_0.csv', 0]"
"['Tacc_S15elbow1_0.csv', 5]"
"['Tacc_S15lift2_0.csv', 15]"
"['Tacc_S15crunch1_0.csv', 6]"
"['Tacc_S15lunge1_0.csv', 18]"
"['Tacc_S15pushup1_0.csv', 2]"
"['Tacc_S15upper1_0.csv', 48]"
"['Tacc_S16bicep2_0.csv', 23]"
"['Tacc_S16lift2_0.csv', 12]"
"['Tacc_S16lunge2_0.csv', 23]"
"['Tacc_S16elbow2_0.csv', 24]"
"['Tacc_S16bridge1_0.csv', 18]"
"['Tacc_S16arm2_0.csv', 1]"
"['Tacc_S16squat1_0.csv', 11]"
"['Tacc_S16upper1_0.csv', 14]"
"['Tacc_S16elbow1_0.csv', 10]"
"['Tacc_S16squat2_0.csv', 20]"
"['Tacc_S16lift1_0.csv', 3]"
"['Tacc_S16bicep1_0.csv', 25]"
"['Tacc_S16bridge2_0.csv', 17]"
"['Tacc_S16crunch1_0.csv', 1]"
"['Tacc_S16lunge1_0.csv', 15]"
"['Tacc_S16upper2_0.csv', 14]"
"['Tacc_S16crunch2_0.csv', 10]"
"['Tacc_S16arm1_0.csv', 0]"
"['Tacc_S17upper2_0.csv', 2]"
"['Tacc_S17lift1_0.csv', 13]"
"['Tacc_S17bridge2_0.csv', 18]"
"['Tacc_S17lift2_0.csv', 14]"
"['Tacc_S17pushup2_0.csv', 4]"
"['Tacc_S17squat2_0.csv', 11]"
"['Tacc_S17bridge1_0.csv', 8]"
"['Tacc_S17crunch2_0.csv', 5]"
"['Tacc_S17bicep2_0.csv', 13]"
"['Tacc_S17arm2_0.csv', 0]"
"['Tacc_S17elbow1_0.csv', 5]"
"['Tacc_S17pushup1_0.csv', 2]"
"['Tacc_S17lunge1_0.csv', 15]"
"['Tacc_S17squat1_0.csv', 4]"
"['Tacc_S17lunge2_0.csv', 4]"
"['Tacc_S17bicep1_0.csv', 18]"
"['Tacc_S17arm1_0.csv', 1]"
"['Tacc_S17elbow2_0.csv', 4]"
"['Tacc_S17crunch1_0.csv', 4]"
"['Tacc_S17upper1_0.csv', 13]"
"['Tacc_S18elbow1_0.csv', 1]"
"['Tacc_S18arm1_0.csv', 0]"
"['Tacc_S18bicep2_0.csv', 4]"
"['Tacc_S18crunch2_0.csv', 7]"
"['Tacc_S18lift2_0.csv', 16]"
"['Tacc_S18lunge2_0.csv', 26]"
"['Tacc_S18upper2_0.csv', 5]"
"['Tacc_S18arm2_0.csv', 0]"
"['Tacc_S18squat1_0.csv', 16]"
"['Tacc_S18squat2_0.csv', 14]"
"['Tacc_S18bridge1_0.csv', 1]"
"['Tacc_S18lift1_0.csv', 27]"
"['Tacc_S18pushup2_0.csv', 14]"
"['Tacc_S18lunge1_0.csv', 8]"
"['Tacc_S18bridge2_0.csv', 9]"
"['Tacc_S18bicep1_0.csv', 16]"
"['Tacc_S18crunch1_0.csv', 8]"
"['Tacc_S18elbow2_0.csv', 18]"
"['Tacc_S18upper1_0.csv', 27]"
"['LPacc_S1lunge2_0t.csv', 0]"
"['LPacc_S1upper2_0t.csv', 20]"
"['LPacc_S11squat1_0.csv', 0]"
"['LPacc_S16lunge1_0.csv', 0]"
"['LPacc_S15elbow1_0.csv', 2]"
"['LPacc_S11squat2_0.csv', 0]"
"['LPacc_S18squat2_0.csv', 0]"
"['LPacc_S17lunge2_0.csv', 0]"
"['LPacc_S18lunge1_0.csv', 0]"
"['LPacc_S1bicep2_0t.csv', 1]"
"['LPacc_S16bridge2_0.csv', 1]"
"['LPacc_S1lift1_0t.csv', 4]"
"['LPacc_S1upper1_0t.csv', 18]"
"['LPacc_S1pushup1_0t.csv', 2]"
"['LPacc_S12crunch2_0.csv', 1]"
"['LPacc_S1arm1_0t.csv', 32]"
"['LPacc_S14pushup2_0.csv', 4]"
"['LPacc_S16arm1_0.csv', 0]"
"['LPacc_S15upper1_0.csv', 2]"
"['LPacc_S15squat1_0.csv', 0]"
"['LPacc_S17pushup1_0.csv', 1]"
"['LPacc_S14lift1_0.csv', 0]"
"['LPacc_S16upper2_0.csv', 14]"
"['LPacc_S16elbow2_0.csv', 8]"
"['LPacc_S1crunch2_0t.csv', 8]"
"['LPacc_S16bridge1_0.csv', 2]"
"['LPacc_S15pushup1_0.csv', 2]"
"['LPacc_S18crunch1_0.csv', 16]"
"['LPacc_S17bicep1_0.csv', 1]"
"['LPacc_S18arm1_0.csv', 0]"
"['LPacc_S11lift1_0.csv', 1]"
"['LPacc_S13upper1_0.csv', 7]"
"['LPacc_S17upper1_0.csv', 1]"
"['LPacc_S12lunge1_0.csv', 0]"
"['LPacc_S11elbow2_0.csv', 1]"
"['LPacc_S14elbow1_0.csv', 7]"
"['LPacc_S16lift2_0.csv', 16]"
"['LPacc_S13bridge1_0.csv', 0]"
"['LPacc_S11bridge2_0.csv', 3]"
"['LPacc_S15upper2_0.csv', 4]"
"['LPacc_S10elbow1_0.csv', 0]"
"['LPacc_S12pushup1_0.csv', 1]"
"['LPacc_S1crunch1_0t.csv', 10]"
"['LPacc_S11arm2_0.csv', 0]"
"['LPacc_S1bridge1_0t.csv', 11]"
"['LPacc_S13squat1_0.csv', 0]"
"['LPacc_S13bicep2_0.csv', 1]"
"['LPacc_S16bicep1_0.csv', 1]"
"['LPacc_S14lunge2_0.csv', 1]"
"['LPacc_S18arm2_0.csv', 0]"
"['LPacc_S11pushup1_0.csv', 1]"
"['LPacc_S18bicep2_0.csv', 0]"
"['LPacc_S12bicep2_0.csv', 20]"
"['LPacc_S17lift2_0.csv', 5]"
"['LPacc_S14arm1_0.csv', 0]"
"['LPacc_S17arm1_0.csv', 1]"
"['LPacc_S14bicep2_0.csv', 4]"
"['LPacc_S17lift1_0.csv', 14]"
"['LPacc_S10squat1_0.csv', 0]"
"['LPacc_S12bridge1_0.csv', 0]"
"['LPacc_S16squat2_0.csv', 0]"
"['LPacc_S11bicep1_0.csv', 2]"
"['LPacc_S17upper2_0.csv', 10]"
"['LPacc_S12squat2_0.csv', 7]"
"['LPacc_S15lift2_0.csv', 3]"
"['LPacc_S10lift2_0.csv', 24]"
"['LPacc_S11bridge1_0.csv', 13]"
"['LPacc_S10elbow2_0.csv', 3]"
"['LPacc_S17bridge1_0.csv', 1]"
"['LPacc_S13squat2_0.csv', 0]"
"['LPacc_S13bridge2_0.csv', 0]"
